isFraud,TransactionAmt,OperatingSystemVersion,BrowserVersion,ProductCode,CardNetwork,CardType,EmailDomainPayer,EmailDomainReceiver,OperatingSystemName,BrowserName
0,50.0,7.0,6.2,H,mastercard,credit,gmail.com,,Android,samsung browser
0,15.0,11.1,11.0,H,visa,debit,anonymous.com,,iOS,mobile safari
0,75.887,,62.0,C,mastercard,credit,gmail.com,gmail.com,,chrome
0,16.495,,62.0,C,mastercard,debit,hotmail.com,hotmail.com,,chrome
0,30.0,10.11,62.0,H,visa,debit,aol.com,,Mac OS X,chrome
0,100.0,10,62.0,H,mastercard,credit,yahoo.com,,Windows,chrome
0,50.0,,,H,visa,credit,gmail.com,,,
0,25.0,,62.0,S,american express,credit,,gmail.com,Android,chrome
0,75.887,,62.0,C,visa,credit,gmail.com,gmail.com,,chrome
0,42.294,,62.0,C,visa,debit,outlook.com,outlook.com,,chrome
0,3.595,,62.0,C,mastercard,credit,anonymous.com,anonymous.com,,chrome
0,50.0,7.0,62.0,H,visa,debit,gmail.com,,Android,chrome
0,300.0,10,62.0,H,visa,credit,anonymous.com,,Windows,chrome
0,20.0,,62.0,S,visa,debit,,hotmail.com,Linux,chrome
0,100.0,11.1,11.0,H,visa,credit,anonymous.com,,iOS,mobile safari
0,6.767,,62.0,C,mastercard,debit,outlook.com,outlook.com,,chrome
0,27.793,,62.0,C,visa,debit,gmail.com,gmail.com,,chrome
0,125.674,,62.0,C,visa,credit,anonymous.com,anonymous.com,,chrome
0,50.0,10,15.0,H,visa,credit,charter.net,charter.net,Windows,edge
0,75.0,11.0,,R,visa,credit,gmail.com,gmail.com,iOS,mobile safari generic
0,100.0,7.0,62.0,H,visa,credit,comcast.net,,Android,chrome
0,25.0,10.7,49.0,H,visa,debit,yahoo.com,,Mac OS X,chrome
0,100.0,7.0,62.0,H,visa,credit,comcast.net,,Android,chrome
0,5.075,,62.0,C,visa,debit,gmail.com,gmail.com,,chrome
0,150.0,,,H,visa,debit,gmail.com,gmail.com,,
0,18.186,,62.0,C,mastercard,debit,hotmail.com,hotmail.com,,chrome
0,4.433,,62.0,C,visa,debit,gmail.com,gmail.com,,chrome
0,100.0,10.12,61.0,H,american express,credit,anonymous.com,anonymous.com,Mac OS X,chrome
0,50.0,10.12,62.0,H,mastercard,debit,gmail.com,,Mac OS X,chrome
0,50.0,10.12,62.0,H,mastercard,debit,gmail.com,,Mac OS X,chrome
0,70.933,,62.0,C,visa,credit,gmail.com,gmail.com,,chrome
0,100.0,10,16.0,H,mastercard,credit,yahoo.com,,Windows,edge
0,200.0,10.13,,R,visa,debit,anonymous.com,anonymous.com,Mac OS X,safari generic
0,200.0,10.13,,R,visa,debit,anonymous.com,anonymous.com,Mac OS X,safari generic
0,100.0,11.1,11.0,R,american express,credit,anonymous.com,anonymous.com,iOS,mobile safari
0,30.0,11.1,11.0,H,visa,debit,yahoo.com,,iOS,mobile safari
0,50.0,10,62.0,R,visa,credit,comcast.net,comcast.net,Windows,chrome
0,100.0,10,14.0,H,visa,credit,optonline.net,,Windows,edge
0,25.0,11.1,11.0,H,visa,debit,gmail.com,gmail.com,iOS,mobile safari
0,200.0,,56.0,H,visa,credit,embarqmail.com,,Android,chrome
0,12.0,,62.0,S,visa,debit,,,Android,chrome
0,57.399,,57.0,C,mastercard,credit,gmail.com,gmail.com,,firefox
0,32.325,,11.0,C,mastercard,credit,hotmail.com,hotmail.com,,mobile safari
0,5.982,,57.0,C,mastercard,debit,anonymous.com,anonymous.com,,firefox
0,8.641,,62.0,C,mastercard,credit,anonymous.com,anonymous.com,,chrome
0,66.0,11.1,11.0,H,mastercard,debit,aol.com,gmail.com,iOS,mobile safari
0,15.0,11.0,11.0,H,visa,debit,gmail.com,,iOS,mobile safari
0,19.455,,11.0,C,visa,debit,live.com.mx,live.com.mx,,mobile safari
0,25.0,11.1,11.0,H,visa,credit,yahoo.com,,iOS,mobile safari
0,21.993,,62.0,C,visa,credit,anonymous.com,anonymous.com,,chrome
0,15.0,7.0,62.0,H,visa,credit,gmail.com,,Android,chrome
0,30.0,11.1,11.0,H,visa,debit,yahoo.com,gmail.com,iOS,mobile safari
1,37.098,,54.0,C,visa,credit,hotmail.com,hotmail.com,,chrome
1,37.098,,54.0,C,visa,credit,hotmail.com,hotmail.com,,chrome
1,37.098,,54.0,C,visa,credit,hotmail.com,hotmail.com,,chrome
0,50.0,11.1,,H,visa,credit,yahoo.com,,iOS,mobile safari uiwebview
0,48.638,,62.0,C,mastercard,credit,anonymous.com,anonymous.com,,chrome
0,48.638,,62.0,C,mastercard,credit,anonymous.com,anonymous.com,,chrome
0,42.596,,11.0,C,visa,credit,hotmail.com,hotmail.com,,mobile safari
0,55.829,,62.0,C,visa,debit,anonymous.com,anonymous.com,,chrome
0,50.0,11.1,11.0,H,visa,debit,icloud.com,icloud.com,iOS,mobile safari
0,48.578,,62.0,C,mastercard,debit,live.com.mx,live.com.mx,,chrome
0,50.0,11.1,11.0,H,visa,debit,icloud.com,icloud.com,iOS,mobile safari
0,50.0,10,62.0,R,mastercard,debit,comcast.net,yahoo.com,Windows,chrome
0,200.0,11.1,11.0,H,visa,credit,gmail.com,,iOS,mobile safari
0,25.0,10.9,,H,visa,credit,gmail.com,,Mac OS X,chrome
0,30.0,10,62.0,S,visa,debit,,aol.com,Windows,chrome
0,18.73,,62.0,C,visa,credit,gmail.com,gmail.com,,chrome
0,25.014,,,C,mastercard,credit,gmail.com,gmail.com,,safari generic
1,155.521,,62.0,C,visa,credit,outlook.com,outlook.com,,chrome
0,20.905,,62.0,C,visa,debit,hotmail.com,hotmail.com,,chrome
0,50.0,10.13,,H,american express,credit,juno.com,juno.com,Mac OS X,safari generic
0,19.576,,57.0,C,visa,debit,gmail.com,gmail.com,,firefox
0,300.0,,,R,visa,credit,gmail.com,gmail.com,,
0,125.0,7,62.0,H,visa,credit,gmail.com,,Windows,chrome
0,16.857,,62.0,C,mastercard,debit,gmail.com,gmail.com,,chrome
0,100.0,11.1,,R,visa,debit,gmail.com,anonymous.com,iOS,mobile safari generic
0,30.0,8.1,62.0,H,visa,debit,yahoo.com,,Windows,chrome
0,100.0,11.1,,R,visa,debit,gmail.com,anonymous.com,iOS,mobile safari generic
0,100.0,11.1,,R,visa,debit,gmail.com,anonymous.com,iOS,mobile safari generic
0,50.0,11.1,11.0,H,visa,debit,gmail.com,,iOS,mobile safari
0,100.0,11.1,,R,visa,debit,gmail.com,anonymous.com,iOS,mobile safari generic
0,26.947,,62.0,C,visa,credit,gmail.com,gmail.com,,chrome
0,500.0,10.11,,R,american express,credit,comcast.net,comcast.net,Mac OS X,safari generic
