Price,Suburb,Rooms,Type,Method,Date,Postcode,Bedrooms,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Regionname,Propertycount,Rooms_winsorized,Landsize_winsorized,BuildingArea_winsorized,Car_Missing,distance_cbd_km
1480000.0,Abbotsford,2,House,S,3/12/2016,3067.0,2.0,1.0,1.0,202.0,,,Yarra City Council,-37.7996,144.9984,Northern Metropolitan,4019.0,2,202.0,,False,4.246274971129164
1035000.0,Abbotsford,2,House,S,4/02/2016,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra City Council,-37.8079,144.9934,Northern Metropolitan,4019.0,2,156.0,79.0,False,3.486397943661512
1465000.0,Abbotsford,3,House,SP,4/03/2017,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra City Council,-37.8093,144.9944,Northern Metropolitan,4019.0,3,134.0,150.0,False,3.578903434735817
850000.0,Abbotsford,3,House,PI,4/03/2017,3067.0,3.0,2.0,1.0,94.0,,,Yarra City Council,-37.7969,144.9969,Northern Metropolitan,4019.0,3,94.0,,False,4.201690332530611
941000.0,Abbotsford,2,House,S,7/05/2016,3067.0,2.0,1.0,0.0,181.0,,,Yarra City Council,-37.8041,144.9953,Northern Metropolitan,4019.0,2,181.0,,False,3.773536652794308
1876000.0,Abbotsford,3,House,S,7/05/2016,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra City Council,-37.8024,144.9993,Northern Metropolitan,4019.0,3,245.0,210.0,False,4.250484146491417
1636000.0,Abbotsford,2,House,S,8/10/2016,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra City Council,-37.806,144.9954,Northern Metropolitan,4019.0,2,256.0,107.0,False,3.73961906109289
1000000.0,Abbotsford,3,House,S,8/10/2016,3067.0,3.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,3,,,True,
745000.0,Abbotsford,2,Townhouse,S,8/10/2016,3067.0,3.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2,,,True,
300000.0,Abbotsford,1,Unit / Duplex,S,8/10/2016,3067.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8008,144.9973,Northern Metropolitan,4019.0,1,0.0,,False,4.087930803172158
1097000.0,Abbotsford,2,House,S,8/10/2016,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra City Council,-37.801,144.9989,Northern Metropolitan,4019.0,2,220.0,75.0,False,4.250548664198973
542000.0,Abbotsford,2,Unit / Duplex,S,8/10/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2,,,True,
760000.0,Abbotsford,2,Unit / Duplex,SP,10/12/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2,,,True,
481000.0,Abbotsford,1,Unit / Duplex,SP,10/12/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,1,,,True,
700000.0,Abbotsford,2,Unit / Duplex,VB,12/11/2016,3067.0,2.0,2.0,1.0,0.0,,,Yarra City Council,-37.811,145.0067,Northern Metropolitan,4019.0,2,0.0,,False,4.931266797629956
1350000.0,Abbotsford,3,House,VB,12/11/2016,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,Yarra City Council,-37.8085,144.9964,Northern Metropolitan,4019.0,3,214.0,190.0,False,3.8086715669510247
750000.0,Abbotsford,2,Unit / Duplex,S,12/11/2016,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,2,0.0,94.0,False,3.8289132582055614
1985000.0,Abbotsford,4,House,S,12/11/2016,3067.0,3.0,,0.0,,,,Yarra City Council,-37.8084,144.9942,Northern Metropolitan,4019.0,4,,,True,3.5673264945729475
500000.0,Abbotsford,1,Unit / Duplex,S,12/11/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,1,,,True,
1172500.0,Abbotsford,2,House,S,13/08/2016,3067.0,2.0,1.0,1.0,195.0,,,Yarra City Council,-37.8084,144.9973,Northern Metropolitan,4019.0,2,195.0,,False,3.9091862076531947
441000.0,Abbotsford,1,Unit / Duplex,SP,14/05/2016,3067.0,1.0,1.0,1.0,0.0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,1,0.0,,False,4.22083334696292
1310000.0,Abbotsford,2,House,S,15/10/2016,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra City Council,-37.809,144.9976,Northern Metropolitan,4019.0,2,238.0,97.0,False,3.935660028008551
1200000.0,Abbotsford,3,House,S,16/07/2016,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,Yarra City Council,-37.8056,144.993,Northern Metropolitan,4019.0,3,113.0,110.0,False,3.4872695564524907
847000.0,Abbotsford,2,Townhouse,S,16/07/2016,3067.0,3.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2,,,True,
1176500.0,Abbotsford,3,House,S,16/07/2016,3067.0,2.0,1.0,1.0,138.0,,1890.0,Yarra City Council,-37.8021,144.9965,Northern Metropolitan,4019.0,3,138.0,,False,3.960239517115797
955000.0,Abbotsford,3,House,S,17/09/2016,3067.0,3.0,1.0,0.0,183.0,,,Yarra City Council,-37.8022,144.9975,Northern Metropolitan,4019.0,3,183.0,,False,4.063735182987503
890000.0,Abbotsford,2,House,S,17/09/2016,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,Yarra City Council,-37.8011,145.0004,Northern Metropolitan,4019.0,2,150.0,73.0,False,4.406869415873355
1330000.0,Abbotsford,4,House,PI,18/03/2017,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,Yarra City Council,-37.8073,144.9952,Northern Metropolitan,4019.0,4,780.0,135.0,False,3.693674558520518
900000.0,Abbotsford,3,Townhouse,S,18/03/2017,3067.0,3.0,2.0,2.0,0.0,,2010.0,Yarra City Council,-37.8093,144.9959,Northern Metropolitan,4019.0,3,0.0,,False,3.7447438827034953
1090000.0,Abbotsford,3,Unit / Duplex,S,18/03/2017,3067.0,3.0,2.0,2.0,4290.0,27.0,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,3,3093.0,27.0,False,3.8289132582055614
500000.0,Abbotsford,2,Unit / Duplex,S,18/06/2016,3067.0,2.0,1.0,1.0,0.0,,1970.0,Yarra City Council,-37.8015,144.9972,Northern Metropolitan,4019.0,2,0.0,,False,4.053870182623531
1100000.0,Abbotsford,2,House,PI,18/06/2016,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,Yarra City Council,-37.8079,144.9977,Northern Metropolitan,4019.0,2,124.0,135.0,False,3.9596824102837767
1315000.0,Abbotsford,2,House,S,19/11/2016,3067.0,2.0,1.0,0.0,147.0,,1900.0,Yarra City Council,-37.808,144.994,Northern Metropolitan,4019.0,2,147.0,,False,3.5508874232005376
480000.0,Abbotsford,1,Unit / Duplex,S,19/11/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,1,,,True,
423500.0,Abbotsford,1,Unit / Duplex,S,22/05/2016,3067.0,2.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,1,,,True,
426000.0,Abbotsford,1,Unit / Duplex,SP,22/08/2016,3067.0,1.0,1.0,0.0,0.0,,,Yarra City Council,-37.8016,144.9988,Northern Metropolitan,4019.0,1,0.0,,True,4.22083334696292
1447500.0,Abbotsford,3,House,PI,22/08/2016,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,Yarra City Council,-37.8017,145.0001,Northern Metropolitan,4019.0,3,166.0,174.0,False,4.356572175202172
457000.0,Abbotsford,1,Unit / Duplex,S,22/08/2016,3067.0,1.0,1.0,1.0,0.0,50.0,,Yarra City Council,-37.8078,144.9965,Northern Metropolitan,4019.0,1,0.0,50.0,False,3.8289132582055614
1135000.0,Abbotsford,2,House,S,22/08/2016,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,Yarra City Council,-37.8005,144.9952,Northern Metropolitan,4019.0,2,98.0,128.0,False,3.878079626452997
700000.0,Abbotsford,2,House,S,23/04/2016,3067.0,3.0,,0.0,,,,Yarra City Council,,,Northern Metropolitan,4019.0,2,,,True,
1542000.0,Abbotsford,4,House,S,24/09/2016,3067.0,4.0,3.0,1.0,0.0,,,Yarra City Council,-37.7994,144.9965,Northern Metropolitan,4019.0,4,0.0,,False,4.055549100288611
962000.0,Abbotsford,3,Townhouse,SP,25/02/2017,3067.0,3.0,,0.0,,,,Yarra City Council,-37.7972,144.9969,Northern Metropolitan,4019.0,3,,,True,4.188312571939789
1290000.0,Abbotsford,3,House,S,25/02/2017,3067.0,3.0,2.0,2.0,147.0,18.0,,Yarra City Council,-37.805,144.9943,Northern Metropolitan,4019.0,3,147.0,18.0,False,3.6425422557285327
1290000.0,Abbotsford,3,House,S,25/02/2017,3067.0,3.0,1.0,1.0,168.0,,1950.0,Yarra City Council,-37.8007,144.9958,Northern Metropolitan,4019.0,3,168.0,,False,3.9335948837819084
