SupplierID,Name,Email
3,"Rodriguez, Figueroa and Sanchez",rodriguez.figueroa.and.sanchez@example.com
2,Doyle Ltd,doyle.ltd@example.com
1,"Mcclain, Miller and Henderson",mcclain.miller.and.henderson@example.com
5,Davis and Sons,davis.and.sons@example.com
4,"Guzman, Hoffman and Baldwin",guzman.hoffman.and.baldwin@example.com
8,"Gardner, Robinson and Lawrence",gardner.robinson.and.lawrence@example.com
9,Blake and Sons,blake.and.sons@example.com
10,"Henderson, Ramirez and Lewis",henderson.ramirez.and.lewis@example.com
7,Garcia-James,garcia-james@example.com
6,Abbott-Munoz,abbott-munoz@example.com
